,team,sketch_title,writer,link,writer_clean
1379,Moriarty,Moriarty - 8/4/14 - Party Puke,Written by Tyler G Hall,https://www.youtube.com/watch?v=K0oaWOknwt0,Tyler G Hall
1380,Moriarty,Moriarty - 8/4/14 - Swastika,Written by John Zachary Townsend,https://www.youtube.com/watch?v=6-17dFAOI9k,John Zachary Townsend
1381,Moriarty,Moriarty - 8/4/14 - Wine Bro,Written by Cristina Sanza,https://www.youtube.com/watch?v=CH70AeBsAdM,Cristina Sanza
1382,Moriarty,Moriarty - 9/8/14 - Ad Guy Goes To Rape Too Quickly,Written by John Zachary Townsend,https://www.youtube.com/watch?v=J1j-EWP9T6o,John Zachary Townsend
1383,Moriarty,Moriarty - 9/8/14 - Bedbug Mattress Store,Written by Janet Silverman,https://www.youtube.com/watch?v=Gv6y2fsVJew,Janet Silverman
1384,Moriarty,Moriarty - 9/8/14 - FULL SHOW,Last Supper Written by Tyler G. Hall,https://www.youtube.com/watch?v=R1ztDu0wrKs,Last Supper  Tyler G. Hall
1385,Moriarty,Moriarty - 9/8/14 - Glory Hole,Written by Juan Nicolon,https://www.youtube.com/watch?v=XG40cnacOyk,Juan Nicolon
1386,Moriarty,Moriarty - 9/8/14 - Katt Williams,Written by Juan Nicolon,https://www.youtube.com/watch?v=3JXBmCs0tkY,Juan Nicolon
1387,Moriarty,Moriarty - 9/8/14 - Last Supper,Last Supper Written by Tyler G. Hall,https://www.youtube.com/watch?v=TrT-9fppdVU,Last Supper  Tyler G. Hall
1388,Moriarty,Moriarty - 9/8/14 - Sex Files,Written by Cristina Sanza,https://www.youtube.com/watch?v=TSL38I9hRz4,Cristina Sanza
1389,Moriarty,Moriarty - 9/8/14 - Therapist,Written by John Zachary Townsend,https://www.youtube.com/watch?v=pn7mqH0c5Qg,John Zachary Townsend
1390,Moriarty,Moriarty 2/24/14 - Black Widow,Written by Janet Silverman,https://www.youtube.com/watch?v=FNPUdOdIyBY,Janet Silverman
1391,Moriarty,Moriarty 2/24/14 - Fancy Dinner Party,Written by Cristina Sanza,https://www.youtube.com/watch?v=CO3_Ltl91G8,Cristina Sanza
1392,Moriarty,Moriarty 2/24/14 - Firing Squad,Written by Juan Nicolon,https://www.youtube.com/watch?v=Vk-_0M_Na_Q,Juan Nicolon
1393,Moriarty,Moriarty 2/24/14 - For This I Thank Of You,Written by John Zachary Townsend,https://www.youtube.com/watch?v=I3ADMIMnOVQ,John Zachary Townsend
1394,Moriarty,Moriarty 2/24/14 - Freaky Mother Daughter Relationship,Written by Allie Kokesh,https://www.youtube.com/watch?v=k47jBbfRNcg,Allie Kokesh
1395,Moriarty,Moriarty 2/24/14 - FULL SHOW,Written by Cristina Sanza,https://www.youtube.com/watch?v=_MuW85ucL1M,Cristina Sanza
1396,Moriarty,Moriarty 2/24/14 - Katy Perry Radio Ads,Written by Tyler Hall,https://www.youtube.com/watch?v=-zyFSLgmlBA,Tyler Hall
1397,Moriarty,Moriarty 2/24/14 - Shackleton,Written by Juan Nicolon,https://www.youtube.com/watch?v=vO1LGdvfz3Y,Juan Nicolon
1398,Moriarty,Moriarty 3/24/14 - Loud Talker,Written by Allie Kokesh,https://www.youtube.com/watch?v=Cx7fq1Oc700,Allie Kokesh
1399,Moriarty,Moriarty 3/24/14 - Offline Dating,Written by Janet Silverman,https://www.youtube.com/watch?v=Nk3Qs-IYFsI,Janet Silverman
1400,Moriarty,Moriarty 3/24/14 - Orange is the New Friend,Written by Cristina Sanza,https://www.youtube.com/watch?v=RpkI25a5lTA,Cristina Sanza
1401,Moriarty,Moriarty 3/24/14 - Sex Slaves,Written by Juan Nicolon,https://www.youtube.com/watch?v=t4o3Eu8M46w,Juan Nicolon
1402,Moriarty,Moriarty 3/24/14 - This Is My Start Up,Writers:,https://www.youtube.com/watch?v=UJ_mqCtuB_c,s:
1403,Moriarty,Moriarty 3/24/14 - TMZealand,Written by Tyler Hall,https://www.youtube.com/watch?v=gDrAs5Q-sVs,Tyler Hall
1404,Moriarty,Office Diary,Written by Allie Kokesh,https://www.youtube.com/watch?v=izitskYBMYI,Allie Kokesh
1405,Moriarty,Possessed Seduction,Written by Allie Kokesh,https://www.youtube.com/watch?v=JpZF-4CKkPY,Allie Kokesh
1406,notebooks,WTF Do You Want For Christmas,No writer,https://www.youtube.com/watch?v=IeGNGrknHls,No
1407,notebooks,"youtube-dl test video ""'/\ä↭𝕐",No writer,https://www.youtube.com/watch?v=BaW_jenozKc,No
1408,Onassis,01 Don't Look At The Suspect's Crotch Onassis 4 2 12,No writer,https://www.youtube.com/watch?v=DqYbOAqD8Eg,No
1409,Onassis,01 Glass Conference Room Onassis 2 6 12,No writer,https://www.youtube.com/watch?v=-5ZpzKEFC8o,No
1410,Onassis,01 Power Move Onassis 3 5 12,No writer,https://www.youtube.com/watch?v=tnxoMK2BqCY,No
1411,Onassis,02 Driving Lesson Onassis 6 4 12,No writer,https://www.youtube.com/watch?v=uitS_XGnBl8,No
